boyfriend_NOUN	парень_NOUN
malayalam_NOUN	малаял_NOUN
drawing_NOUN	рисунок_NOUN
broadcast_NOUN	трансляция_NOUN
missionary_NOUN	миссионер_NOUN
curtis_NOUN	кёртис_NOUN
logical_ADJ	логический_ADJ
translation_NOUN	перевод_NOUN
insert_VERB	включить_VERB
blair_NOUN	блэр_NOUN
shrine_NOUN	святилище_NOUN
yankee_NOUN	янки_NOUN
shoe_NOUN	туфля_NOUN
corn_NOUN	кукуруза_NOUN
provider_NOUN	поставщик_NOUN
sacrifice_NOUN	жертвоприношение_NOUN
strict_ADJ	строгий_ADJ
tel_NOUN	тело_NOUN
tang_NOUN	тан_NOUN
geoffrey_NOUN	джефри_NOUN
supposedly_ADV	предположительно_ADV
consistently_ADV	последовательно_ADV
distant_ADJ	отдаленный_ADJ
varietie_NOUN	сорт_NOUN
strait_NOUN	пролив_NOUN
humor_NOUN	юмор_NOUN
monk_NOUN	монк_NOUN
reform_NOUN	реформа_NOUN
evangelical_ADJ	евангелический_ADJ
aid_NOUN	спид_NOUN
plane_NOUN	плоскость_NOUN
prehistoric_ADJ	доисторическая_ADJ
claire_NOUN	клэр_NOUN
suburban_ADJ	пригородный_ADJ
relay_NOUN	реле_NOUN
molecule_NOUN	молекула_NOUN
remember_VERB	вспоминать_VERB
george_NOUN	жорж_NOUN
lengthy_ADJ	длительный_ADJ
elephant_NOUN	слон_NOUN
concerto_NOUN	концерт_NOUN
trick_NOUN	уловка_NOUN
holder_NOUN	держатель_NOUN
monkey_NOUN	обезьяна_NOUN
graph_NOUN	график_NOUN
present_VERB	представлять_VERB
proportion_NOUN	пропорция_NOUN
engagement_NOUN	вовлечение_NOUN
aggressive_ADJ	агрессивный_ADJ
cleaning_NOUN	чистка_NOUN
shirt_NOUN	футболка_NOUN
battalion_NOUN	батальон_NOUN
particle_NOUN	частица_NOUN
silva_NOUN	силво_NOUN
array_NOUN	массив_NOUN
finding_NOUN	вывод_NOUN
milton_NOUN	милтон_NOUN
bag_NOUN	сумка_NOUN
spot_VERB	замечать_VERB
gravity_NOUN	гравитация_NOUN
regiment_NOUN	полк_NOUN
header_NOUN	заголовок_NOUN
ignore_VERB	проигнорировать_VERB
drawing_NOUN	чертеж_NOUN
dot_NOUN	дот_NOUN
jessican_NOUN	джессика_NOUN
retreat_NOUN	отступление_NOUN
dimension_NOUN	измерение_NOUN
tehran_NOUN	тегерана_NOUN
silk_NOUN	шелк_NOUN
scale_NOUN	шкала_NOUN
like_VERB	нравиться_VERB
spot_NOUN	ролик_NOUN
bonds_NOUN	облигация_NOUN
astronomy_NOUN	астрономия_NOUN
questionable_ADJ	сомнительный_ADJ
surrey_NOUN	суррь_NOUN
fountain_NOUN	фонтан_NOUN
dust_NOUN	пыль_NOUN
instructor_NOUN	инструктор_NOUN
jeffrey_NOUN	джефри_NOUN
chave_NOUN	чадо_NOUN
privately_ADV	наедине_ADV
cream_NOUN	крем_NOUN
fake_NOUN	подделка_NOUN
humanity_NOUN	человечность_NOUN
cloth_NOUN	одежда_NOUN
wet_ADJ	мокрый_ADJ
variant_NOUN	вариант_NOUN
reliability_NOUN	достоверность_NOUN
tough_ADJ	жесткий_ADJ
rafael_NOUN	рафаэль_NOUN
disband_VERB	расформировать_VERB
transformation_NOUN	трансформация_NOUN
rap_NOUN	рэп_NOUN
sailor_NOUN	моряк_NOUN
joke_NOUN	шутка_NOUN
allegedly_ADV	якобы_ADV
commander_NOUN	командир_NOUN
diplomat_NOUN	дипломат_NOUN
screenwriter_NOUN	сценарист_NOUN
telugu_NOUN	телуга_NOUN
salem_NOUN	салть_NOUN
costume_NOUN	костюм_NOUN
edge_NOUN	край_NOUN
clean_VERB	почистить_VERB
problematic_ADJ	проблематичный_ADJ
compromise_NOUN	компромисс_NOUN
arrow_NOUN	стрела_NOUN
finalist_NOUN	финалист_NOUN
baldwin_NOUN	болдуин_NOUN
dale_NOUN	дэйл_NOUN
brilliant_ADJ	блестящий_ADJ
careful_ADJ	осторожный_ADJ
raider_NOUN	рейдер_NOUN
palomar_NOUN	паломар_NOUN
dozen_NOUN	дюжина_NOUN
switch_VERB	менять_VERB
decease_VERB	скончаться_VERB
client_NOUN	клиент_NOUN
arbitrator_NOUN	арбитр_NOUN
marking_NOUN	маркировка_NOUN
humanity_NOUN	человечество_NOUN
carnegie_NOUN	карнега_NOUN
motor_NOUN	двигатель_NOUN
nurse_NOUN	медсестра_NOUN
illustrate_VERB	иллюстрировать_VERB
cleaning_NOUN	уборка_NOUN
millennium_NOUN	тысячелетие_NOUN
linda_NOUN	линда_NOUN
girlfriend_NOUN	подруга_NOUN
lineup_NOUN	опознаний_NOUN
ibm_X	ибм_X
explosion_NOUN	взрыв_NOUN
documentation_NOUN	документация_NOUN
louisville_NOUN	луисвилла_NOUN
fur_NOUN	шерсть_NOUN
olive_ADJ	оливковый_ADJ
million_NOUN	миллион_NOUN
ignore_VERB	игнорировать_VERB
egg_NOUN	яйцо_NOUN
reflect_VERB	отразить_VERB
norton_NOUN	нортон_NOUN
ammunition_NOUN	боеприпас_NOUN
chave_NOUN	чед_NOUN
elevate_VERB	повышать_VERB
telegraph_NOUN	телеграф_NOUN
tune_NOUN	мелодия_NOUN
mohammad_NOUN	мохаммед_NOUN
surface_NOUN	поверхность_NOUN
insufficient_ADJ	недостаточный_ADJ
light_NOUN	молния_NOUN
consequently_ADV	следовательно_ADV
plate_NOUN	пластина_NOUN
permanently_ADV	навсегда_ADV
providence_NOUN	провиденс_NOUN
commitment_NOUN	обязательство_NOUN
love_VERB	любить_VERB
brighton_NOUN	брайтон_NOUN
succeed_VERB	преуспевать_VERB
monkey_NOUN	обезьянка_NOUN
wheel_NOUN	колесо_NOUN
criterion_NOUN	критерий_NOUN
compensation_NOUN	компенсация_NOUN
likewise_ADV	аналогично_ADV
productive_ADJ	продуктивный_ADJ
creature_NOUN	тварь_NOUN
honor_VERB	заслуживать_VERB
spa_NOUN	спа_NOUN
endorse_VERB	одобрять_VERB
clara_NOUN	клара_NOUN
ulster_NOUN	ольстер_NOUN
enterprise_NOUN	предприятие_NOUN
ball_NOUN	яйцо_NOUN
napoleon_NOUN	наполеон_NOUN
contract_NOUN	договор_NOUN
sanction_NOUN	санкция_NOUN
enable_VERB	включить_VERB
ham_NOUN	ветчина_NOUN
decorate_VERB	украшать_VERB
furniture_NOUN	мебель_NOUN
slavery_NOUN	рабство_NOUN
employer_NOUN	заказчик_NOUN
libya_NOUN	ливии_NOUN
minimal_ADJ	минимальный_ADJ
pond_NOUN	пруд_NOUN
definition_NOUN	определение_NOUN
grave_NOUN	могила_NOUN
advise_VERB	советовать_VERB
chocolate_NOUN	шоколад_NOUN
useless_ADJ	бесполезный_ADJ
kerry_NOUN	керри_NOUN
slovakia_NOUN	словакие_NOUN
finger_NOUN	палец_NOUN
armor_NOUN	броня_NOUN
rotation_NOUN	вращение_NOUN
scandal_NOUN	скандал_NOUN
claire_NOUN	клирать_NOUN
cage_NOUN	клетка_NOUN
gain_VERB	набирать_VERB
pursuit_NOUN	погоня_NOUN
defender_NOUN	правозащитник_NOUN
penn_NOUN	пенна_NOUN
conquest_NOUN	завоевание_NOUN
moderate_ADJ	умерять_ADJ
thunder_NOUN	гром_NOUN
designer_NOUN	дизайнер_NOUN
nest_NOUN	гнездо_NOUN
griffin_NOUN	гриффин_NOUN
ceiling_NOUN	потолок_NOUN
count_VERB	насчитывать_VERB
investigate_VERB	расследовать_VERB
speculation_NOUN	спекуляция_NOUN
pleasant_ADJ	приятный_ADJ
logo_NOUN	логотип_NOUN
specimen_NOUN	экземпляр_NOUN
die_VERB	умирать_VERB
avoid_VERB	избегать_VERB
hall_NOUN	зал_NOUN
mess_NOUN	бардак_NOUN
detection_NOUN	обнаружение_NOUN
csd_NOUN	курица_NOUN
firm_NOUN	фирма_NOUN
investor_NOUN	инвестор_NOUN
physician_NOUN	врач_NOUN
fringe_NOUN	грань_NOUN
legally_ADV	легально_ADV
bach_NOUN	баха_NOUN
subway_NOUN	метро_NOUN
darkness_NOUN	мрак_NOUN
penalty_NOUN	штраф_NOUN
receptor_NOUN	рецептор_NOUN
trainer_NOUN	тренер_NOUN
emerg_VERB	возникать_VERB
rifle_NOUN	винтовка_NOUN
maker_NOUN	создатель_NOUN
harder_ADJ	тяжелый_ADJ
rosa_NOUN	роза_NOUN
mentor_NOUN	наставник_NOUN
beatle_NOUN	битлз_NOUN
bow_NOUN	лук_NOUN
stronger_ADJ	крепкий_ADJ
interaction_NOUN	взаимодействие_NOUN
trilogy_NOUN	трилогия_NOUN
catalogue_NOUN	каталог_NOUN
plantation_NOUN	плантация_NOUN
mechanic_NOUN	механика_NOUN
fusion_NOUN	синтез_NOUN
dinner_NOUN	ужин_NOUN
lat_NOUN	лата_NOUN
carefully_ADV	бережно_ADV
strategy_NOUN	стратегия_NOUN
circulation_NOUN	тираж_NOUN
demonstration_NOUN	демонстрация_NOUN
brandon_NOUN	брэндон_NOUN
witness_NOUN	свидетель_NOUN
entrepreneur_NOUN	предприниматель_NOUN
consequence_NOUN	следствие_NOUN
vulnerable_ADJ	уязвимый_ADJ
hole_NOUN	дырка_NOUN
exterior_ADJ	внешний_ADJ
chamber_NOUN	камера_NOUN
consultant_NOUN	консультант_NOUN
marine_NOUN	морпех_NOUN
bomber_NOUN	бомбардировщик_NOUN
roberto_NOUN	роберто_NOUN
foundation_NOUN	основа_NOUN
fire_NOUN	пожар_NOUN
cleare_VERB	очистить_VERB
reflect_VERB	отражать_VERB
bulletin_NOUN	бюллетень_NOUN
supporter_NOUN	сторонник_NOUN
cream_NOUN	сливки_NOUN
raja_NOUN	радж_NOUN
performer_NOUN	исполнитель_NOUN
patricia_NOUN	патриций_NOUN
wagner_NOUN	вагнирать_NOUN
servant_NOUN	служанка_NOUN
jesse_NOUN	джесси_NOUN
accidentally_ADV	нечаянно_ADV
heart_NOUN	сердце_NOUN
compound_NOUN	соединение_NOUN
electron_NOUN	электрон_NOUN
reaction_NOUN	реакция_NOUN
outline_ADV	набросок_ADV
forbe_NOUN	форбса_NOUN
darwin_NOUN	дарвин_NOUN
night_NOUN	ночь_NOUN
legend_NOUN	легенда_NOUN
impressed_ADJ	впечатлять_ADJ
pregnant_ADJ	беременная_ADJ
sculptor_NOUN	скульптор_NOUN
acknowledge_VERB	признавать_VERB
runway_NOUN	подиум_NOUN
dynamics_NOUN	динамик_NOUN
sphere_NOUN	сфера_NOUN
exception_NOUN	изъятие_NOUN
bit_NOUN	бит_NOUN
disorder_NOUN	расстройство_NOUN
