rebellion_NOUN	восстание_NOUN
evidence_NOUN	доказательство_NOUN
mission_NOUN	миссия_NOUN
athlete_NOUN	спортсмен_NOUN
nomination_NOUN	кандидатура_NOUN
catch_VERB	поймать_VERB
demand_NOUN	требование_NOUN
appropriate_ADJ	уместный_ADJ
pearl_NOUN	жемчуг_NOUN
input_NOUN	ввод_NOUN
court_NOUN	суд_NOUN
except_ADP	кроме_ADP
archife_NOUN	архив_NOUN
bachelor_NOUN	бакалавр_NOUN
ridge_NOUN	ридж_NOUN
hitler_NOUN	гитлер_NOUN
character_NOUN	персонаж_NOUN
sun_NOUN	суть_NOUN
current_ADJ	нынешний_ADJ
annual_ADJ	годовой_ADJ
orientation_NOUN	направленность_NOUN
sport_NOUN	спорт_NOUN
piano_NOUN	пианино_NOUN
mount_NOUN	гора_NOUN
sign_NOUN	признак_NOUN
johann_NOUN	иоганн_NOUN
four_NUM	четыре_NUM
twenty_NUM	двадцать_NUM
equipment_NOUN	аппаратура_NOUN
neither_CCONJ	ни_CCONJ
driver_NOUN	драйвер_NOUN
default_NOUN	умолчание_NOUN
run_NOUN	бежать_NOUN
graham_NOUN	грэм_NOUN
george_NOUN	джордж_NOUN
head_NOUN	головка_NOUN
businessman_NOUN	бизнесмен_NOUN
remove_VERB	удалить_VERB
vessel_NOUN	сосуд_NOUN
form_VERB	сформировать_VERB
chair_NOUN	стул_NOUN
twitter_NOUN	твиттер_NOUN
saint_NOUN	святой_NOUN
case_NOUN	кейс_NOUN
rapid_ADJ	быстрый_ADJ
compete_VERB	конкурировать_VERB
district_NOUN	округ_NOUN
art_NOUN	арт_NOUN
connection_NOUN	соединение_NOUN
office_NOUN	офис_NOUN
enter_NOUN	ввод_NOUN
conversation_NOUN	разговор_NOUN
cave_NOUN	пещера_NOUN
planet_NOUN	планета_NOUN
schedule_NOUN	график_NOUN
banking_NOUN	банковский_NOUN
open_VERB	открывать_VERB
responsibility_NOUN	ответственность_NOUN
bill_NOUN	билл_NOUN
consistent_ADJ	последовательный_ADJ
exactly_ADV	точно_ADV
head_VERB	возглавлять_VERB
fix_VERB	починять_VERB
resident_NOUN	житель_NOUN
power_NOUN	полномочие_NOUN
baby_NOUN	детка_NOUN
islamic_ADJ	исламская_ADJ
bishop_NOUN	бишоп_NOUN
adam_NOUN	адавать_NOUN
kent_NOUN	кент_NOUN
testament_NOUN	завет_NOUN
romantic_ADJ	романтический_ADJ
revise_VERB	пересматривать_VERB
potential_NOUN	потенциал_NOUN
frequently_ADV	часто_ADV
